id,Percentile_Rank,Blending_Nonwords,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,0,1,144,155,FALSE,TRUE
,0,1,1,144,155,FALSE,FALSE
,0,2,1,144,155,FALSE,FALSE
,0,3,1,144,155,FALSE,FALSE
,0,4,1,144,155,FALSE,FALSE
,0,5,1,144,155,FALSE,FALSE
,0,6,1,144,155,FALSE,FALSE
,0,7,1,144,155,FALSE,FALSE
,0,8,1,144,155,FALSE,FALSE
,0,9,1,144,155,FALSE,FALSE
,0,10,2,144,155,FALSE,FALSE
,0,11,2,144,155,FALSE,FALSE
,1,12,3,144,155,FALSE,FALSE
,2,13,4,144,155,FALSE,FALSE
,5,14,5,144,155,FALSE,FALSE
,9,15,6,144,155,FALSE,FALSE
,16,16,7,144,155,FALSE,FALSE
,16,17,7,144,155,FALSE,FALSE
,25,18,8,144,155,FALSE,FALSE
,37,19,9,144,155,FALSE,FALSE
,50,20,10,144,155,FALSE,FALSE
,50,21,10,144,155,FALSE,FALSE
,63,22,11,144,155,FALSE,FALSE
,75,23,12,144,155,FALSE,FALSE
,84,24,13,144,155,FALSE,FALSE
,91,25,14,144,155,FALSE,FALSE
,95,26,15,144,155,FALSE,FALSE
,98,27,16,144,155,FALSE,FALSE
,99,28,17,144,155,FALSE,FALSE
,100,29,18,144,155,FALSE,FALSE
,100,30,19,144,155,TRUE,FALSE
,9,0,6,52,55,FALSE,TRUE
,16,1,7,52,55,FALSE,FALSE
,25,2,8,52,55,FALSE,FALSE
,37,3,9,52,55,FALSE,FALSE
,50,4,10,52,55,FALSE,FALSE
,50,5,10,52,55,FALSE,FALSE
,63,6,11,52,55,FALSE,FALSE
,63,7,11,52,55,FALSE,FALSE
,75,8,12,52,55,FALSE,FALSE
,75,9,12,52,55,FALSE,FALSE
,75,10,12,52,55,FALSE,FALSE
,84,11,13,52,55,FALSE,FALSE
,84,12,13,52,55,FALSE,FALSE
,91,13,14,52,55,FALSE,FALSE
,91,14,14,52,55,FALSE,FALSE
,95,15,15,52,55,FALSE,FALSE
,98,16,16,52,55,FALSE,FALSE
,99,17,17,52,55,FALSE,FALSE
,100,18,18,52,55,FALSE,FALSE
,100,19,18,52,55,FALSE,FALSE
,100,20,19,52,55,FALSE,FALSE
,100,21,20,52,55,TRUE,FALSE
,16,0,7,48,51,FALSE,TRUE
,25,1,8,48,51,FALSE,FALSE
,37,2,9,48,51,FALSE,FALSE
,50,3,10,48,51,FALSE,FALSE
,50,4,10,48,51,FALSE,FALSE
,63,5,11,48,51,FALSE,FALSE
,75,6,12,48,51,FALSE,FALSE
,75,7,12,48,51,FALSE,FALSE
,84,8,13,48,51,FALSE,FALSE
,84,9,13,48,51,FALSE,FALSE
,84,10,13,48,51,FALSE,FALSE
,91,11,14,48,51,FALSE,FALSE
,91,12,14,48,51,FALSE,FALSE
,95,13,15,48,51,FALSE,FALSE
,95,14,15,48,51,FALSE,FALSE
,98,15,16,48,51,FALSE,FALSE
,99,16,17,48,51,FALSE,FALSE
,100,17,18,48,51,FALSE,FALSE
,100,18,19,48,51,FALSE,FALSE
,100,19,19,48,51,FALSE,FALSE
,100,20,20,48,51,TRUE,FALSE
,2,0,4,60,65,FALSE,TRUE
,5,1,5,60,65,FALSE,FALSE
,9,2,6,60,65,FALSE,FALSE
,16,3,7,60,65,FALSE,FALSE
,25,4,8,60,65,FALSE,FALSE
,37,5,9,60,65,FALSE,FALSE
,37,6,9,60,65,FALSE,FALSE
,37,7,9,60,65,FALSE,FALSE
,50,8,10,60,65,FALSE,FALSE
,50,9,10,60,65,FALSE,FALSE
,50,10,10,60,65,FALSE,FALSE
,63,11,11,60,65,FALSE,FALSE
,63,12,11,60,65,FALSE,FALSE
,75,13,12,60,65,FALSE,FALSE
,75,14,12,60,65,FALSE,FALSE
,84,15,13,60,65,FALSE,FALSE
,91,16,14,60,65,FALSE,FALSE
,95,17,15,60,65,FALSE,FALSE
,98,18,16,60,65,FALSE,FALSE
,98,19,16,60,65,FALSE,FALSE
,99,20,17,60,65,FALSE,FALSE
,100,21,18,60,65,FALSE,FALSE
,100,22,18,60,65,FALSE,FALSE
,100,23,19,60,65,FALSE,FALSE
,100,24,20,60,65,TRUE,FALSE
,5,0,5,56,59,FALSE,TRUE
,9,1,6,56,59,FALSE,FALSE
,16,2,7,56,59,FALSE,FALSE
,25,3,8,56,59,FALSE,FALSE
,37,4,9,56,59,FALSE,FALSE
,50,5,10,56,59,FALSE,FALSE
,50,6,10,56,59,FALSE,FALSE
,50,7,10,56,59,FALSE,FALSE
,63,8,11,56,59,FALSE,FALSE
,63,9,11,56,59,FALSE,FALSE
,63,10,11,56,59,FALSE,FALSE
,75,11,12,56,59,FALSE,FALSE
,75,12,12,56,59,FALSE,FALSE
,84,13,13,56,59,FALSE,FALSE
,84,14,13,56,59,FALSE,FALSE
,91,15,14,56,59,FALSE,FALSE
,95,16,15,56,59,FALSE,FALSE
,98,17,16,56,59,FALSE,FALSE
,99,18,17,56,59,FALSE,FALSE
,99,19,17,56,59,FALSE,FALSE
,100,20,18,56,59,FALSE,FALSE
,100,21,19,56,59,FALSE,FALSE
,100,22,19,56,59,FALSE,FALSE
,100,23,20,56,59,TRUE,FALSE
,1,0,3,65,71,FALSE,TRUE
,2,1,4,65,71,FALSE,FALSE
,5,2,5,65,71,FALSE,FALSE
,9,3,6,65,71,FALSE,FALSE
,16,4,7,65,71,FALSE,FALSE
,25,5,8,65,71,FALSE,FALSE
,25,6,8,65,71,FALSE,FALSE
,25,7,8,65,71,FALSE,FALSE
,37,8,9,65,71,FALSE,FALSE
,37,9,9,65,71,FALSE,FALSE
,37,10,9,65,71,FALSE,FALSE
,50,11,10,65,71,FALSE,FALSE
,50,12,10,65,71,FALSE,FALSE
,63,13,11,65,71,FALSE,FALSE
,63,14,11,65,71,FALSE,FALSE
,75,15,12,65,71,FALSE,FALSE
,84,16,13,65,71,FALSE,FALSE
,91,17,14,65,71,FALSE,FALSE
,95,18,15,65,71,FALSE,FALSE
,95,19,15,65,71,FALSE,FALSE
,98,20,16,65,71,FALSE,FALSE
,99,21,17,65,71,FALSE,FALSE
,99,22,17,65,71,FALSE,FALSE
,100,23,18,65,71,FALSE,FALSE
,100,24,19,65,71,FALSE,FALSE
,100,25,20,65,71,TRUE,FALSE
,0,0,2,72,77,FALSE,TRUE
,1,1,3,72,77,FALSE,FALSE
,2,2,4,72,77,FALSE,FALSE
,5,3,5,72,77,FALSE,FALSE
,9,4,6,72,77,FALSE,FALSE
,16,5,7,72,77,FALSE,FALSE
,16,6,7,72,77,FALSE,FALSE
,16,7,7,72,77,FALSE,FALSE
,25,8,8,72,77,FALSE,FALSE
,25,9,8,72,77,FALSE,FALSE
,25,10,8,72,77,FALSE,FALSE
,37,11,9,72,77,FALSE,FALSE
,37,12,9,72,77,FALSE,FALSE
,50,13,10,72,77,FALSE,FALSE
,50,14,10,72,77,FALSE,FALSE
,63,15,11,72,77,FALSE,FALSE
,75,16,12,72,77,FALSE,FALSE
,84,17,13,72,77,FALSE,FALSE
,91,18,14,72,77,FALSE,FALSE
,91,19,14,72,77,FALSE,FALSE
,95,20,15,72,77,FALSE,FALSE
,98,21,16,72,77,FALSE,FALSE
,98,22,16,72,77,FALSE,FALSE
,99,23,17,72,77,FALSE,FALSE
,100,24,18,72,77,FALSE,FALSE
,100,25,19,72,77,FALSE,FALSE
,100,26,20,72,77,TRUE,FALSE
,0,0,1,78,83,FALSE,TRUE
,0,1,2,78,83,FALSE,FALSE
,1,2,3,78,83,FALSE,FALSE
,2,3,4,78,83,FALSE,FALSE
,5,4,5,78,83,FALSE,FALSE
,9,5,6,78,83,FALSE,FALSE
,9,6,6,78,83,FALSE,FALSE
,9,7,6,78,83,FALSE,FALSE
,16,8,7,78,83,FALSE,FALSE
,16,9,7,78,83,FALSE,FALSE
,16,10,7,78,83,FALSE,FALSE
,25,11,8,78,83,FALSE,FALSE
,25,12,8,78,83,FALSE,FALSE
,37,13,9,78,83,FALSE,FALSE
,37,14,9,78,83,FALSE,FALSE
,50,15,10,78,83,FALSE,FALSE
,63,16,11,78,83,FALSE,FALSE
,75,17,12,78,83,FALSE,FALSE
,84,18,13,78,83,FALSE,FALSE
,84,19,13,78,83,FALSE,FALSE
,91,20,14,78,83,FALSE,FALSE
,95,21,15,78,83,FALSE,FALSE
,98,22,16,78,83,FALSE,FALSE
,99,23,17,78,83,FALSE,FALSE
,100,24,18,78,83,FALSE,FALSE
,100,25,19,78,83,FALSE,FALSE
,100,26,19,78,83,FALSE,FALSE
,100,27,19,78,83,FALSE,FALSE
,100,28,19,78,83,FALSE,FALSE
,100,29,19,78,83,FALSE,FALSE
,100,30,20,78,83,TRUE,FALSE
,0,0,1,84,89,FALSE,TRUE
,0,1,1,84,89,FALSE,FALSE
,0,2,2,84,89,FALSE,FALSE
,1,3,3,84,89,FALSE,FALSE
,2,4,4,84,89,FALSE,FALSE
,5,5,5,84,89,FALSE,FALSE
,5,6,5,84,89,FALSE,FALSE
,5,7,5,84,89,FALSE,FALSE
,9,8,6,84,89,FALSE,FALSE
,9,9,6,84,89,FALSE,FALSE
,9,10,6,84,89,FALSE,FALSE
,16,11,7,84,89,FALSE,FALSE
,16,12,7,84,89,FALSE,FALSE
,25,13,8,84,89,FALSE,FALSE
,25,14,8,84,89,FALSE,FALSE
,37,15,9,84,89,FALSE,FALSE
,50,16,10,84,89,FALSE,FALSE
,63,17,11,84,89,FALSE,FALSE
,75,18,12,84,89,FALSE,FALSE
,75,19,12,84,89,FALSE,FALSE
,84,20,13,84,89,FALSE,FALSE
,91,21,14,84,89,FALSE,FALSE
,95,22,15,84,89,FALSE,FALSE
,98,23,16,84,89,FALSE,FALSE
,99,24,17,84,89,FALSE,FALSE
,100,25,18,84,89,FALSE,FALSE
,100,26,19,84,89,FALSE,FALSE
,100,27,19,84,89,FALSE,FALSE
,100,28,19,84,89,FALSE,FALSE
,100,29,19,84,89,FALSE,FALSE
,100,30,20,84,89,TRUE,FALSE
,0,0,1,90,95,FALSE,TRUE
,0,1,1,90,95,FALSE,FALSE
,0,2,1,90,95,FALSE,FALSE
,0,3,2,90,95,FALSE,FALSE
,1,4,3,90,95,FALSE,FALSE
,2,5,4,90,95,FALSE,FALSE
,2,6,4,90,95,FALSE,FALSE
,2,7,4,90,95,FALSE,FALSE
,5,8,5,90,95,FALSE,FALSE
,5,9,5,90,95,FALSE,FALSE
,5,10,5,90,95,FALSE,FALSE
,9,11,6,90,95,FALSE,FALSE
,9,12,6,90,95,FALSE,FALSE
,16,13,7,90,95,FALSE,FALSE
,16,14,7,90,95,FALSE,FALSE
,25,15,8,90,95,FALSE,FALSE
,37,16,9,90,95,FALSE,FALSE
,50,17,10,90,95,FALSE,FALSE
,63,18,11,90,95,FALSE,FALSE
,75,19,12,90,95,FALSE,FALSE
,84,20,13,90,95,FALSE,FALSE
,91,21,14,90,95,FALSE,FALSE
,95,22,15,90,95,FALSE,FALSE
,98,23,16,90,95,FALSE,FALSE
,99,24,17,90,95,FALSE,FALSE
,100,25,18,90,95,FALSE,FALSE
,100,26,18,90,95,FALSE,FALSE
,100,27,19,90,95,FALSE,FALSE
,100,28,19,90,95,FALSE,FALSE
,100,29,19,90,95,FALSE,FALSE
,100,30,20,90,95,TRUE,FALSE
,0,0,1,96,107,FALSE,TRUE
,0,1,1,96,107,FALSE,FALSE
,0,2,1,96,107,FALSE,FALSE
,0,3,1,96,107,FALSE,FALSE
,0,4,2,96,107,FALSE,FALSE
,1,5,3,96,107,FALSE,FALSE
,1,6,3,96,107,FALSE,FALSE
,1,7,3,96,107,FALSE,FALSE
,2,8,4,96,107,FALSE,FALSE
,2,9,4,96,107,FALSE,FALSE
,2,10,4,96,107,FALSE,FALSE
,5,11,5,96,107,FALSE,FALSE
,5,12,5,96,107,FALSE,FALSE
,9,13,6,96,107,FALSE,FALSE
,9,14,6,96,107,FALSE,FALSE
,16,15,7,96,107,FALSE,FALSE
,25,16,8,96,107,FALSE,FALSE
,37,17,9,96,107,FALSE,FALSE
,50,18,10,96,107,FALSE,FALSE
,63,19,11,96,107,FALSE,FALSE
,75,20,12,96,107,FALSE,FALSE
,84,21,13,96,107,FALSE,FALSE
,91,22,14,96,107,FALSE,FALSE
,95,23,15,96,107,FALSE,FALSE
,98,24,16,96,107,FALSE,FALSE
,99,25,17,96,107,FALSE,FALSE
,100,26,18,96,107,FALSE,FALSE
,100,27,18,96,107,FALSE,FALSE
,100,28,19,96,107,FALSE,FALSE
,100,29,19,96,107,FALSE,FALSE
,100,30,20,96,107,TRUE,FALSE
,0,0,1,108,119,FALSE,FALSE
,0,1,1,108,119,FALSE,TRUE
,0,2,1,108,119,FALSE,FALSE
,0,3,1,108,119,FALSE,FALSE
,0,4,1,108,119,FALSE,FALSE
,0,5,2,108,119,FALSE,FALSE
,0,6,2,108,119,FALSE,FALSE
,0,7,2,108,119,FALSE,FALSE
,1,8,3,108,119,FALSE,FALSE
,1,9,3,108,119,FALSE,FALSE
,1,10,3,108,119,FALSE,FALSE
,2,11,4,108,119,FALSE,FALSE
,2,12,4,108,119,FALSE,FALSE
,5,13,5,108,119,FALSE,FALSE
,9,14,6,108,119,FALSE,FALSE
,9,15,6,108,119,FALSE,FALSE
,16,16,7,108,119,FALSE,FALSE
,25,17,8,108,119,FALSE,FALSE
,37,18,9,108,119,FALSE,FALSE
,50,19,10,108,119,FALSE,FALSE
,63,20,11,108,119,FALSE,FALSE
,75,21,12,108,119,FALSE,FALSE
,84,22,13,108,119,FALSE,FALSE
,91,23,14,108,119,FALSE,FALSE
,95,24,15,108,119,FALSE,FALSE
,98,25,16,108,119,FALSE,FALSE
,99,26,17,108,119,FALSE,FALSE
,100,27,18,108,119,FALSE,FALSE
,100,28,19,108,119,FALSE,FALSE
,100,29,19,108,119,FALSE,FALSE
,100,30,20,108,119,TRUE,FALSE
,0,0,1,120,131,FALSE,TRUE
,0,1,1,120,131,FALSE,FALSE
,0,2,1,120,131,FALSE,FALSE
,0,3,1,120,131,FALSE,FALSE
,0,4,1,120,131,FALSE,FALSE
,0,5,1,120,131,FALSE,FALSE
,0,6,1,120,131,FALSE,FALSE
,0,7,1,120,131,FALSE,FALSE
,0,8,2,120,131,FALSE,FALSE
,0,9,2,120,131,FALSE,FALSE
,0,10,2,120,131,FALSE,FALSE
,1,11,3,120,131,FALSE,FALSE
,1,12,3,120,131,FALSE,FALSE
,2,13,4,120,131,FALSE,FALSE
,5,14,5,120,131,FALSE,FALSE
,9,15,6,120,131,FALSE,FALSE
,16,16,7,120,131,FALSE,FALSE
,16,17,7,120,131,FALSE,FALSE
,25,18,8,120,131,FALSE,FALSE
,37,19,9,120,131,FALSE,FALSE
,50,20,10,120,131,FALSE,FALSE
,63,21,11,120,131,FALSE,FALSE
,75,22,12,120,131,FALSE,FALSE
,84,23,13,120,131,FALSE,FALSE
,91,24,14,120,131,FALSE,FALSE
,95,25,15,120,131,FALSE,FALSE
,98,26,16,120,131,FALSE,FALSE
,99,27,17,120,131,FALSE,FALSE
,100,28,18,120,131,FALSE,FALSE
,100,29,19,120,131,FALSE,FALSE
,100,30,20,120,131,TRUE,FALSE
,0,0,1,132,143,FALSE,TRUE
,0,1,1,132,143,FALSE,FALSE
,0,2,1,132,143,FALSE,FALSE
,0,3,1,132,143,FALSE,FALSE
,0,4,1,132,143,FALSE,FALSE
,0,5,1,132,143,FALSE,FALSE
,0,6,1,132,143,FALSE,FALSE
,0,7,1,132,143,FALSE,FALSE
,0,8,2,132,143,FALSE,FALSE
,0,9,2,132,143,FALSE,FALSE
,0,10,2,132,143,FALSE,FALSE
,1,11,3,132,143,FALSE,FALSE
,1,12,3,132,143,FALSE,FALSE
,2,13,4,132,143,FALSE,FALSE
,5,14,5,132,143,FALSE,FALSE
,9,15,6,132,143,FALSE,FALSE
,16,16,7,132,143,FALSE,FALSE
,16,17,7,132,143,FALSE,FALSE
,25,18,8,132,143,FALSE,FALSE
,37,19,9,132,143,FALSE,FALSE
,50,20,10,132,143,FALSE,FALSE
,63,21,11,132,143,FALSE,FALSE
,75,22,12,132,143,FALSE,FALSE
,84,23,13,132,143,FALSE,FALSE
,91,24,14,132,143,FALSE,FALSE
,95,25,15,132,143,FALSE,FALSE
,98,26,16,132,143,FALSE,FALSE
,99,27,17,132,143,FALSE,FALSE
,100,28,18,132,143,FALSE,FALSE
,100,29,19,132,143,FALSE,FALSE
,100,30,20,132,143,TRUE,FALSE
,0,0,1,156,167,FALSE,TRUE
,0,1,1,156,167,FALSE,FALSE
,0,2,1,156,167,FALSE,FALSE
,0,3,1,156,167,FALSE,FALSE
,0,4,1,156,167,FALSE,FALSE
,0,5,1,156,167,FALSE,FALSE
,0,6,1,156,167,FALSE,FALSE
,0,7,1,156,167,FALSE,FALSE
,0,8,1,156,167,FALSE,FALSE
,0,9,1,156,167,FALSE,FALSE
,0,10,2,156,167,FALSE,FALSE
,0,11,2,156,167,FALSE,FALSE
,1,12,3,156,167,FALSE,FALSE
,2,13,4,156,167,FALSE,FALSE
,5,14,5,156,167,FALSE,FALSE
,9,15,6,156,167,FALSE,FALSE
,16,16,7,156,167,FALSE,FALSE
,16,17,7,156,167,FALSE,FALSE
,25,18,8,156,167,FALSE,FALSE
,37,19,9,156,167,FALSE,FALSE
,50,20,10,156,167,FALSE,FALSE
,50,21,10,156,167,FALSE,FALSE
,63,22,11,156,167,FALSE,FALSE
,75,23,12,156,167,FALSE,FALSE
,84,24,13,156,167,FALSE,FALSE
,91,25,14,156,167,FALSE,FALSE
,95,26,15,156,167,FALSE,FALSE
,98,27,16,156,167,FALSE,FALSE
,99,28,17,156,167,FALSE,FALSE
,100,29,18,156,167,FALSE,FALSE
,100,30,19,156,167,TRUE,FALSE
,0,0,1,168,179,FALSE,TRUE
,0,1,1,168,179,FALSE,FALSE
,0,2,1,168,179,FALSE,FALSE
,0,3,1,168,179,FALSE,FALSE
,0,4,1,168,179,FALSE,FALSE
,0,5,1,168,179,FALSE,FALSE
,0,6,1,168,179,FALSE,FALSE
,0,7,1,168,179,FALSE,FALSE
,0,8,1,168,179,FALSE,FALSE
,0,9,1,168,179,FALSE,FALSE
,0,10,2,168,179,FALSE,FALSE
,0,11,2,168,179,FALSE,FALSE
,1,12,3,168,179,FALSE,FALSE
,2,13,4,168,179,FALSE,FALSE
,5,14,5,168,179,FALSE,FALSE
,9,15,6,168,179,FALSE,FALSE
,16,16,7,168,179,FALSE,FALSE
,16,17,7,168,179,FALSE,FALSE
,25,18,8,168,179,FALSE,FALSE
,37,19,9,168,179,FALSE,FALSE
,37,20,9,168,179,FALSE,FALSE
,50,21,10,168,179,FALSE,FALSE
,63,22,11,168,179,FALSE,FALSE
,63,23,11,168,179,FALSE,FALSE
,75,24,12,168,179,FALSE,FALSE
,84,25,13,168,179,FALSE,FALSE
,91,26,14,168,179,FALSE,FALSE
,95,27,15,168,179,FALSE,FALSE
,98,28,16,168,179,FALSE,FALSE
,99,29,17,168,179,FALSE,FALSE
,100,30,18,168,179,TRUE,FALSE
,0,0,1,180,299,FALSE,TRUE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,1,180,299,FALSE,FALSE
,0,7,1,180,299,FALSE,FALSE
,0,8,1,180,299,FALSE,FALSE
,0,9,1,180,299,FALSE,FALSE
,0,10,2,180,299,FALSE,FALSE
,0,11,2,180,299,FALSE,FALSE
,1,12,3,180,299,FALSE,FALSE
,2,13,4,180,299,FALSE,FALSE
,5,14,5,180,299,FALSE,FALSE
,9,15,6,180,299,FALSE,FALSE
,16,16,7,180,299,FALSE,FALSE
,16,17,7,180,299,FALSE,FALSE
,25,18,8,180,299,FALSE,FALSE
,37,19,9,180,299,FALSE,FALSE
,37,20,9,180,299,FALSE,FALSE
,50,21,10,180,299,FALSE,FALSE
,63,22,11,180,299,FALSE,FALSE
,63,23,11,180,299,FALSE,FALSE
,75,24,12,180,299,FALSE,FALSE
,84,25,13,180,299,FALSE,FALSE
,91,26,14,180,299,FALSE,FALSE
,95,27,15,180,299,FALSE,FALSE
,98,28,16,180,299,FALSE,FALSE
,99,29,17,180,299,FALSE,FALSE
,100,30,18,180,299,TRUE,FALSE