id,Percentile_Rank,Blending_Nonwords,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,1,144,155
,0,4,1,144,155
,0,5,1,144,155
,0,6,1,144,155
,0,7,1,144,155
,0,8,1,144,155
,0,9,1,144,155
,0,10,2,144,155
,0,11,2,144,155
,1,12,3,144,155
,2,13,4,144,155
,5,14,5,144,155
,9,15,6,144,155
,16,16,7,144,155
,16,17,7,144,155
,25,18,8,144,155
,37,19,9,144,155
,50,20,10,144,155
,50,21,10,144,155
,63,22,11,144,155
,75,23,12,144,155
,84,24,13,144,155
,91,25,14,144,155
,95,26,15,144,155
,98,27,16,144,155
,99,28,17,144,155
,100,29,18,144,155
,100,30,19,144,155