id,Percentile_Rank,Memory_For_Digits,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,1,144,155
,0,4,1,144,155
,0,5,1,144,155
,0,6,1,144,155
,0,7,1,144,155
,0,8,1,144,155
,0,9,1,144,155
,0,10,2,144,155
,1,11,3,144,155
,2,12,4,144,155
,2,13,4,144,155
,5,14,5,144,155
,9,15,6,144,155
,16,16,7,144,155
,25,17,8,144,155
,37,18,9,144,155
,50,19,10,144,155
,63,20,11,144,155
,75,21,12,144,155
,84,22,13,144,155
,91,23,14,144,155
,95,24,15,144,155
,98,25,16,144,155
,99,26,17,144,155
,100,27,18,144,155
,100,28,19,144,155