id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months
,0,35,1,144,155
,0,34,2,144,155
,0,33,2,144,155
,0,32,2,144,155
,0,31,2,144,155
,0,30,2,144,155
,1,29,3,144,155
,1,28,3,144,155
,1,27,3,144,155
,1,26,3,144,155
,1,25,3,144,155
,1,24,3,144,155
,2,23,4,144,155
,2,22,4,144,155
,5,21,5,144,155
,5,20,5,144,155
,5,19,5,144,155
,9,18,6,144,155
,9,17,6,144,155
,16,16,7,144,155
,25,15,8,144,155
,37,14,9,144,155
,50,13,10,144,155
,63,12,11,144,155
,75,11,12,144,155
,84,10,13,144,155
,91,9,14,144,155
,95,8,15,144,155
,98,7,16,144,155
,99,6,17,144,155
,100,5,18,144,155
,100,4,18,144,155
,100,3,18,144,155
,100,2,18,144,155
,100,1,18,144,155
,100,0,18,144,155