id,Percentile_Rank,Segmenting_Nonwords,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,0,1,144,155,FALSE,TRUE
,0,1,1,144,155,FALSE,FALSE
,0,2,1,144,155,FALSE,FALSE
,0,3,1,144,155,FALSE,FALSE
,0,4,2,144,155,FALSE,FALSE
,0,5,2,144,155,FALSE,FALSE
,1,6,3,144,155,FALSE,FALSE
,1,7,3,144,155,FALSE,FALSE
,2,8,4,144,155,FALSE,FALSE
,2,9,4,144,155,FALSE,FALSE
,5,10,5,144,155,FALSE,FALSE
,5,11,5,144,155,FALSE,FALSE
,9,12,6,144,155,FALSE,FALSE
,9,13,6,144,155,FALSE,FALSE
,16,14,7,144,155,FALSE,FALSE
,16,15,7,144,155,FALSE,FALSE
,25,16,8,144,155,FALSE,FALSE
,25,17,8,144,155,FALSE,FALSE
,37,18,9,144,155,FALSE,FALSE
,37,19,9,144,155,FALSE,FALSE
,50,20,10,144,155,FALSE,FALSE
,50,21,10,144,155,FALSE,FALSE
,63,22,11,144,155,FALSE,FALSE
,63,23,11,144,155,FALSE,FALSE
,75,24,12,144,155,FALSE,FALSE
,84,25,13,144,155,FALSE,FALSE
,91,26,14,144,155,FALSE,FALSE
,95,27,15,144,155,FALSE,FALSE
,98,28,16,144,155,FALSE,FALSE
,99,29,17,144,155,FALSE,FALSE
,100,30,18,144,155,FALSE,FALSE
,100,31,19,144,155,TRUE,FALSE
,0,106,1,52,55,FALSE,TRUE
,0,105,2,52,55,FALSE,FALSE
,0,104,2,52,55,FALSE,FALSE
,0,103,2,52,55,FALSE,FALSE
,0,102,2,52,55,FALSE,FALSE
,0,101,2,52,55,FALSE,FALSE
,0,100,2,52,55,FALSE,FALSE
,1,99,3,52,55,FALSE,FALSE
,1,98,3,52,55,FALSE,FALSE
,1,97,3,52,55,FALSE,FALSE
,1,96,3,52,55,FALSE,FALSE
,1,95,3,52,55,FALSE,FALSE
,2,94,4,52,55,FALSE,FALSE
,2,93,4,52,55,FALSE,FALSE
,2,92,4,52,55,FALSE,FALSE
,2,91,4,52,55,FALSE,FALSE
,2,90,4,52,55,FALSE,FALSE
,5,89,5,52,55,FALSE,FALSE
,5,88,5,52,55,FALSE,FALSE
,5,87,5,52,55,FALSE,FALSE
,5,86,5,52,55,FALSE,FALSE
,5,85,5,52,55,FALSE,FALSE
,5,84,5,52,55,FALSE,FALSE
,9,83,6,52,55,FALSE,FALSE
,9,82,6,52,55,FALSE,FALSE
,9,81,6,52,55,FALSE,FALSE
,9,80,6,52,55,FALSE,FALSE
,9,79,6,52,55,FALSE,FALSE
,16,78,7,52,55,FALSE,FALSE
,16,77,7,52,55,FALSE,FALSE
,16,76,7,52,55,FALSE,FALSE
,16,75,7,52,55,FALSE,FALSE
,16,74,7,52,55,FALSE,FALSE
,16,73,7,52,55,FALSE,FALSE
,25,72,8,52,55,FALSE,FALSE
,25,71,8,52,55,FALSE,FALSE
,25,70,8,52,55,FALSE,FALSE
,25,69,8,52,55,FALSE,FALSE
,25,68,8,52,55,FALSE,FALSE
,37,67,9,52,55,FALSE,FALSE
,37,66,9,52,55,FALSE,FALSE
,37,65,9,52,55,FALSE,FALSE
,37,64,9,52,55,FALSE,FALSE
,37,63,9,52,55,FALSE,FALSE
,50,62,10,52,55,FALSE,FALSE
,50,61,10,52,55,FALSE,FALSE
,50,60,10,52,55,FALSE,FALSE
,50,59,10,52,55,FALSE,FALSE
,50,58,10,52,55,FALSE,FALSE
,50,57,10,52,55,FALSE,FALSE
,63,56,11,52,55,FALSE,FALSE
,63,55,11,52,55,FALSE,FALSE
,63,54,11,52,55,FALSE,FALSE
,63,53,11,52,55,FALSE,FALSE
,63,52,11,52,55,FALSE,FALSE
,75,51,12,52,55,FALSE,FALSE
,75,50,12,52,55,FALSE,FALSE
,75,49,12,52,55,FALSE,FALSE
,75,48,12,52,55,FALSE,FALSE
,75,47,12,52,55,FALSE,FALSE
,84,46,13,52,55,FALSE,FALSE
,84,45,13,52,55,FALSE,FALSE
,84,44,13,52,55,FALSE,FALSE
,84,43,13,52,55,FALSE,FALSE
,84,42,13,52,55,FALSE,FALSE
,84,41,13,52,55,FALSE,FALSE
,84,40,13,52,55,FALSE,FALSE
,91,39,14,52,55,FALSE,FALSE
,91,38,14,52,55,FALSE,FALSE
,91,37,14,52,55,FALSE,FALSE
,91,36,14,52,55,FALSE,FALSE
,95,35,15,52,55,FALSE,FALSE
,95,34,15,52,55,FALSE,FALSE
,95,33,15,52,55,FALSE,FALSE
,95,32,15,52,55,FALSE,FALSE
,95,31,15,52,55,FALSE,FALSE
,98,30,16,52,55,FALSE,FALSE
,98,29,16,52,55,FALSE,FALSE
,98,28,16,52,55,FALSE,FALSE
,98,27,16,52,55,FALSE,FALSE
,98,26,16,52,55,FALSE,FALSE
,98,25,16,52,55,FALSE,FALSE
,98,24,16,52,55,FALSE,FALSE
,98,23,16,52,55,FALSE,FALSE
,98,22,16,52,55,FALSE,FALSE
,98,21,16,52,55,FALSE,FALSE
,99,20,17,52,55,FALSE,FALSE
,99,19,17,52,55,FALSE,FALSE
,99,18,17,52,55,FALSE,FALSE
,99,17,17,52,55,FALSE,FALSE
,99,16,17,52,55,FALSE,FALSE
,100,15,18,52,55,FALSE,FALSE
,100,14,18,52,55,FALSE,FALSE
,100,13,19,52,55,TRUE,FALSE
,0,109,1,48,51,FALSE,TRUE
,0,108,2,48,51,FALSE,FALSE
,0,107,2,48,51,FALSE,FALSE
,0,106,2,48,51,FALSE,FALSE
,0,105,2,48,51,FALSE,FALSE
,0,104,2,48,51,FALSE,FALSE
,0,103,2,48,51,FALSE,FALSE
,1,102,3,48,51,FALSE,FALSE
,1,101,3,48,51,FALSE,FALSE
,1,100,3,48,51,FALSE,FALSE
,1,99,3,48,51,FALSE,FALSE
,1,98,3,48,51,FALSE,FALSE
,2,97,4,48,51,FALSE,FALSE
,2,96,4,48,51,FALSE,FALSE
,2,95,4,48,51,FALSE,FALSE
,2,94,4,48,51,FALSE,FALSE
,2,93,4,48,51,FALSE,FALSE
,5,92,5,48,51,FALSE,FALSE
,5,91,5,48,51,FALSE,FALSE
,5,90,5,48,51,FALSE,FALSE
,5,89,5,48,51,FALSE,FALSE
,5,88,5,48,51,FALSE,FALSE
,5,87,5,48,51,FALSE,FALSE
,9,86,6,48,51,FALSE,FALSE
,9,85,6,48,51,FALSE,FALSE
,9,84,6,48,51,FALSE,FALSE
,9,83,6,48,51,FALSE,FALSE
,9,82,6,48,51,FALSE,FALSE
,16,81,7,48,51,FALSE,FALSE
,16,80,7,48,51,FALSE,FALSE
,16,79,7,48,51,FALSE,FALSE
,16,78,7,48,51,FALSE,FALSE
,16,77,7,48,51,FALSE,FALSE
,16,76,7,48,51,FALSE,FALSE
,25,75,8,48,51,FALSE,FALSE
,25,74,8,48,51,FALSE,FALSE
,25,73,8,48,51,FALSE,FALSE
,25,72,8,48,51,FALSE,FALSE
,25,71,8,48,51,FALSE,FALSE
,25,70,8,48,51,FALSE,FALSE
,25,69,8,48,51,FALSE,FALSE
,37,68,9,48,51,FALSE,FALSE
,37,67,9,48,51,FALSE,FALSE
,37,66,9,48,51,FALSE,FALSE
,37,65,9,48,51,FALSE,FALSE
,37,64,9,48,51,FALSE,FALSE
,50,63,10,48,51,FALSE,FALSE
,50,62,10,48,51,FALSE,FALSE
,50,61,10,48,51,FALSE,FALSE
,50,60,10,48,51,FALSE,FALSE
,50,59,10,48,51,FALSE,FALSE
,50,58,10,48,51,FALSE,FALSE
,63,57,11,48,51,FALSE,FALSE
,63,56,11,48,51,FALSE,FALSE
,63,55,11,48,51,FALSE,FALSE
,63,54,11,48,51,FALSE,FALSE
,63,53,11,48,51,FALSE,FALSE
,75,52,12,48,51,FALSE,FALSE
,75,51,12,48,51,FALSE,FALSE
,75,50,12,48,51,FALSE,FALSE
,75,49,12,48,51,FALSE,FALSE
,75,48,12,48,51,FALSE,FALSE
,84,47,13,48,51,FALSE,FALSE
,84,46,13,48,51,FALSE,FALSE
,84,45,13,48,51,FALSE,FALSE
,84,44,13,48,51,FALSE,FALSE
,84,43,13,48,51,FALSE,FALSE
,84,42,13,48,51,FALSE,FALSE
,91,41,14,48,51,FALSE,FALSE
,91,40,14,48,51,FALSE,FALSE
,91,39,14,48,51,FALSE,FALSE
,91,38,14,48,51,FALSE,FALSE
,91,37,14,48,51,FALSE,FALSE
,95,36,15,48,51,FALSE,FALSE
,95,35,15,48,51,FALSE,FALSE
,95,34,15,48,51,FALSE,FALSE
,95,33,15,48,51,FALSE,FALSE
,95,32,15,48,51,FALSE,FALSE
,98,31,16,48,51,FALSE,FALSE
,98,30,16,48,51,FALSE,FALSE
,98,29,16,48,51,FALSE,FALSE
,98,28,16,48,51,FALSE,FALSE
,98,27,16,48,51,FALSE,FALSE
,98,26,16,48,51,FALSE,FALSE
,98,25,16,48,51,FALSE,FALSE
,98,24,16,48,51,FALSE,FALSE
,98,23,16,48,51,FALSE,FALSE
,99,22,17,48,51,FALSE,FALSE
,99,21,17,48,51,FALSE,FALSE
,99,20,17,48,51,FALSE,FALSE
,99,19,17,48,51,FALSE,FALSE
,99,18,17,48,51,FALSE,FALSE
,99,17,17,48,51,FALSE,FALSE
,99,16,17,48,51,FALSE,FALSE
,100,15,18,48,51,FALSE,FALSE
,100,14,18,48,51,FALSE,FALSE
,100,13,19,48,51,TRUE,FALSE
,0,101,1,60,65,FALSE,TRUE
,0,100,2,60,65,FALSE,FALSE
,0,99,2,60,65,FALSE,FALSE
,0,98,2,60,65,FALSE,FALSE
,0,97,2,60,65,FALSE,FALSE
,0,96,2,60,65,FALSE,FALSE
,1,95,3,60,65,FALSE,FALSE
,1,94,3,60,65,FALSE,FALSE
,1,93,3,60,65,FALSE,FALSE
,1,92,3,60,65,FALSE,FALSE
,1,91,3,60,65,FALSE,FALSE
,2,90,4,60,65,FALSE,FALSE
,2,89,4,60,65,FALSE,FALSE
,2,88,4,60,65,FALSE,FALSE
,2,87,4,60,65,FALSE,FALSE
,2,86,4,60,65,FALSE,FALSE
,5,85,5,60,65,FALSE,FALSE
,5,84,5,60,65,FALSE,FALSE
,5,83,5,60,65,FALSE,FALSE
,5,82,5,60,65,FALSE,FALSE
,5,81,5,60,65,FALSE,FALSE
,9,80,6,60,65,FALSE,FALSE
,9,79,6,60,65,FALSE,FALSE
,9,78,6,60,65,FALSE,FALSE
,9,77,6,60,65,FALSE,FALSE
,9,76,6,60,65,FALSE,FALSE
,16,75,7,60,65,FALSE,FALSE
,16,74,7,60,65,FALSE,FALSE
,16,73,7,60,65,FALSE,FALSE
,16,72,7,60,65,FALSE,FALSE
,16,71,7,60,65,FALSE,FALSE
,16,70,7,60,65,FALSE,FALSE
,25,69,8,60,65,FALSE,FALSE
,25,68,8,60,65,FALSE,FALSE
,25,67,8,60,65,FALSE,FALSE
,25,66,8,60,65,FALSE,FALSE
,37,65,9,60,65,FALSE,FALSE
,37,64,9,60,65,FALSE,FALSE
,37,63,9,60,65,FALSE,FALSE
,37,62,9,60,65,FALSE,FALSE
,37,61,9,60,65,FALSE,FALSE
,37,60,9,60,65,FALSE,FALSE
,50,59,10,60,65,FALSE,FALSE
,50,58,10,60,65,FALSE,FALSE
,50,57,10,60,65,FALSE,FALSE
,50,56,10,60,65,FALSE,FALSE
,50,55,10,60,65,FALSE,FALSE
,63,54,11,60,65,FALSE,FALSE
,63,53,11,60,65,FALSE,FALSE
,63,52,11,60,65,FALSE,FALSE
,63,51,11,60,65,FALSE,FALSE
,63,50,11,60,65,FALSE,FALSE
,75,49,12,60,65,FALSE,FALSE
,75,48,12,60,65,FALSE,FALSE
,75,47,12,60,65,FALSE,FALSE
,75,46,12,60,65,FALSE,FALSE
,75,45,12,60,65,FALSE,FALSE
,84,44,13,60,65,FALSE,FALSE
,84,43,13,60,65,FALSE,FALSE
,84,42,13,60,65,FALSE,FALSE
,84,41,13,60,65,FALSE,FALSE
,84,40,13,60,65,FALSE,FALSE
,84,39,13,60,65,FALSE,FALSE
,91,38,14,60,65,FALSE,FALSE
,91,37,14,60,65,FALSE,FALSE
,91,36,14,60,65,FALSE,FALSE
,91,35,14,60,65,FALSE,FALSE
,95,34,15,60,65,FALSE,FALSE
,95,33,15,60,65,FALSE,FALSE
,95,32,15,60,65,FALSE,FALSE
,95,31,15,60,65,FALSE,FALSE
,95,30,15,60,65,FALSE,FALSE
,95,29,15,60,65,FALSE,FALSE
,98,28,16,60,65,FALSE,FALSE
,98,27,16,60,65,FALSE,FALSE
,98,26,16,60,65,FALSE,FALSE
,98,25,16,60,65,FALSE,FALSE
,98,24,16,60,65,FALSE,FALSE
,98,23,16,60,65,FALSE,FALSE
,98,22,16,60,65,FALSE,FALSE
,98,21,16,60,65,FALSE,FALSE
,98,20,16,60,65,FALSE,FALSE
,98,19,16,60,65,FALSE,FALSE
,99,18,17,60,65,FALSE,FALSE
,99,17,17,60,65,FALSE,FALSE
,99,16,17,60,65,FALSE,FALSE
,99,15,17,60,65,FALSE,FALSE
,99,14,17,60,65,FALSE,FALSE
,100,13,18,60,65,TRUE,FALSE
,0,105,1,56,59,FALSE,TRUE
,0,104,2,56,59,FALSE,FALSE
,0,103,2,56,59,FALSE,FALSE
,0,102,2,56,59,FALSE,FALSE
,0,101,2,56,59,FALSE,FALSE
,0,100,2,56,59,FALSE,FALSE
,0,99,2,56,59,FALSE,FALSE
,1,98,3,56,59,FALSE,FALSE
,1,97,3,56,59,FALSE,FALSE
,1,96,3,56,59,FALSE,FALSE
,1,95,3,56,59,FALSE,FALSE
,1,94,3,56,59,FALSE,FALSE
,2,93,4,56,59,FALSE,FALSE
,2,92,4,56,59,FALSE,FALSE
,2,91,4,56,59,FALSE,FALSE
,2,90,4,56,59,FALSE,FALSE
,2,89,4,56,59,FALSE,FALSE
,5,88,5,56,59,FALSE,FALSE
,5,87,5,56,59,FALSE,FALSE
,5,86,5,56,59,FALSE,FALSE
,5,85,5,56,59,FALSE,FALSE
,5,84,5,56,59,FALSE,FALSE
